
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="",="(0.00938)",="(0.00238)",="",="(0.00939)",="(0.00124)",="",=""

="YEAR=2009",="",="-0.0137*",="0.00674***",="",="-0.0136*",="0.000426",="",=""
="",="",="(0.00738)",="(0.00232)",="",="(0.00738)",="(0.00122)",="",=""

="YEAR=2010",="",="-0.0650***",="0.00652***",="",="-0.0650***",="-0.000333",="",=""
="",="",="(0.00560)",="(0.00229)",="",="(0.00560)",="(0.00119)",="",=""

="YEAR=2011",="",="0.0603***",="0.00571**",="",="0.0603***",="-0.000940",="",=""
="",="",="(0.0104)",="(0.00223)",="",="(0.0104)",="(0.00129)",="",=""

="YEAR=2012",="",="-0.0835***",="0.00574***",="",="-0.0835***",="-0.00151",="",=""
="",="",="(0.00586)",="(0.00207)",="",="(0.00587)",="(0.00122)",="",=""

="YEAR=2013",="",="-0.0740***",="0.00563***",="",="-0.0740***",="-0.000846",="",=""
="",="",="(0.00541)",="(0.00194)",="",="(0.00542)",="(0.00118)",="",=""

="YEAR=2014",="",="-0.0616***",="0.00661***",="",="-0.0616***",="-0.00165",="",=""
="",="",="(0.00544)",="(0.00199)",="",="(0.00544)",="(0.00117)",="",=""

="YEAR=2015",="",="-0.0414***",="0.00793***",="",="-0.0414***",="-0.00250**",="",=""
="",="",="(0.00732)",="(0.00202)",="",="(0.00732)",="(0.00118)",="",=""

="YEAR=2016",="",="-0.0398***",="0.00970***",="",="-0.0398***",="-0.00285**",="",=""
="",="",="(0.00577)",="(0.00213)",="",="(0.00578)",="(0.00123)",="",=""

="YEAR=2017",="",="-0.0507***",="0.0115***",="",="-0.0507***",="-0.00450***",="",=""
="",="",="(0.00572)",="(0.00215)",="",="(0.00572)",="(0.00127)",="",=""

="YEAR=2018",="",="-0.0248***",="0.0118***",="",="-0.0248***",="-0.00476***",="",=""
="",="",="(0.00692)",="(0.00219)",="",="(0.00692)",="(0.00132)",="",=""

="YEAR=2019",="",="-0.0574***",="0.0129***",="",="-0.0574***",="-0.00569***",="",=""
="",="",="(0.00703)",="(0.00223)",="",="(0.00704)",="(0.00135)",="",=""

="YEAR=2020",="",="-0.0516***",="0.0130***",="",="-0.0516***",="-0.00678***",="",=""
="",="",="(0.00659)",="(0.00223)",="",="(0.00659)",="(0.00133)",="",=""

="YEAR=2021",="",="-0.0410***",="0.0132***",="",="-0.0410***",="-0.00722***",="",=""
="",="",="(0.00659)",="(0.00223)",="",="(0.00660)",="(0.00136)",="",=""

="YEAR=2022",="",="0.0115",="0.0131***",="",="0.0115",="-0.00799***",="",=""
="",="",="(0.00739)",="(0.00210)",="",="(0.00739)",="(0.00136)",="",=""

="YEAR=2023",="",="-0.0826***",="0.00908***",="",="-0.0827***",="-0.0107***",="",=""
="",="",="(0.00660)",="(0.00239)",="",="(0.00660)",="(0.00161)",="",=""

="YEAR=2024",="",="-0.0530***",="0.00676*",="",="-0.0530***",="-0.0122***",="",=""
="",="",="(0.00723)",="(0.00354)",="",="(0.00722)",="(0.00268)",="",=""

="SPGR=0",="",="0",="0",="",="0",="0",="",=""
="",="",="(.)",="(.)",="",="(.)",="(.)",="",=""

="SPGR=1",="",="-0.00536",="-0.0717***",="",="-0.00533",="0.0232***",="",=""
